NodeNo,A.melanoleuca,C.dingo,D.marsupialis,E.barbara,L.pardalis,MeanShape,P.lotor,P.unica,PC1.max,PC1.min,PC2.max,PC2.min,S.harrisii,U.arctos,V.vulpes,V.zibetha,PC1pos.PC2pos,PC1pos.PC2neg,PC1neg.PC2pos,PC1neg.PC2neg
30,2.11669,8.23822,7.01276,6.16222,9.28329,6.82346,7.29954,11.1618,3.43548,12.2155,7.07228,5.61305,4.15021,8.76786,9.85961,9.05304,7.58969,1.57241,10.3664,16.4176
31,4.19167,9.16087,6.92991,6.23857,7.62417,6.95792,8.68866,9.52531,1.60211,12.6208,7.0289,5.52187,5.32035,7.51297,7.68661,9.06358,7.39329,1.59023,9.65754,23.0982
32,2.61808,7.64206,6.32832,6.9172,5.14734,7.20253,4.19309,8.25086,3.23036,11.74,6.8238,4.44536,4.04444,8.22408,8.09199,8.23063,7.43141,1.19112,9.33341,26.1476
33,3.11456,8.19077,6.18558,8.42664,4.23656,6.68433,9.75952,8.98473,2.29143,12.7368,7.92401,4.15489,6.2637,5.60823,7.05558,8.2768,7.4265,1.55965,10.7902,27.1667
34,3.56478,7.32412,6.35739,7.21645,6.21373,8.26737,10.5604,8.99013,0.847236,12.0198,7.78498,4.86793,5.27806,5.30677,10.0543,8.99447,7.03585,0.888985,9.35783,24.8897
35,1.2302,8.74675,5.83297,8.12536,4.54015,6.62842,3.86435,10.1215,1.15723,11.7797,7.976,4.65952,8.09549,8.3251,7.61032,9.04476,7.25705,1.57378,9.25185,23.1835
36,2.03659,8.20384,7.02865,7.05825,8.17178,7.50389,9.84131,10.3629,4.03023,13.2771,7.24424,4.31092,6.97587,7.9759,9.40914,8.9218,7.58989,1.76649,11.4509,17.8061
37,1.88862,8.36222,7.16389,7.78974,10.2527,7.0958,10.7173,8.65891,3.65242,12.4572,7.64654,6.95146,4.77945,8.49532,9.30693,8.49842,7.58242,1.67217,9.21,23.5951
38,2.4916,7.1278,6.22777,6.53312,9.30915,7.70881,8.59641,11.2755,3.11763,11.2232,7.89239,3.86772,8.78643,8.60129,9.03314,8.3043,7.5328,1.32266,10.6533,10.7498
39,2.9477,8.86139,6.03094,6.7643,4.13769,6.76251,6.80097,9.48466,4.06802,12.3683,7.05082,4.6504,3.75604,6.06487,7.36441,9.00347,7.32958,1.76959,10.1363,27.0483
40,4.52881,8.28737,6.9496,6.45399,4.5829,8.05068,9.73457,9.30725,1.10919,13.45,6.62406,3.98355,4.9928,8.9444,9.81167,8.36536,7.36579,1.62191,9.88739,7.16553
41,2.19506,7.05307,6.98348,8.89629,7.96507,6.53804,5.86762,9.35364,1.1526,13.4131,7.24698,6.30937,6.5381,8.48217,6.93164,8.0592,7.80877,1.58576,11.683,25.2842
42,2.62182,8.42481,7.06639,8.0205,5.34103,7.72627,11.6033,9.81835,4.06162,14.8961,8.15911,4.10062,8.47999,8.31977,10.1217,8.45216,7.52184,1.88328,10.1339,26.4592
43,4.09013,9.20121,5.95691,6.59532,9.69139,7.36502,4.703,9.63495,1.49268,14.9967,7.01152,5.54306,6.83115,9.51085,8.60308,8.50306,7.43443,1.77401,8.84493,22.0857
44,4.40043,8.42756,7.01638,6.48361,7.10752,6.91675,9.3084,11.583,3.37951,11.0219,7.18657,11.0491,5.75596,7.72396,9.64905,9.06368,6.92507,1.87439,10.8101,9.50769
45,1.16844,7.53232,6.97672,6.38326,8.13909,6.88089,10.8561,10.1283,2.76443,11.9196,8.29603,7.29829,8.81113,8.15241,7.39626,8.90672,7.85672,0.977669,9.11431,21.9026
46,1.47802,8.95741,6.07215,6.77068,4.23791,7.12863,4.01764,9.80843,1.50772,12.3171,6.59417,8.04709,6.38595,7.09508,7.17653,8.68668,7.51803,0.750384,11.3917,37.5396
47,4.0643,8.66161,6.88616,6.96972,6.01996,7.9569,12.1756,11.0845,2.49955,10.622,8.18854,5.52166,6.18327,7.56657,8.82087,8.85627,7.47326,1.86092,10.9933,32.255
48,1.93494,8.40563,7.16656,6.90174,9.54987,8.5073,4.3008,9.20313,3.76473,15.2338,6.89632,3.77505,3.57452,7.64471,6.85049,8.24622,7.16114,1.7712,10.7015,14.74
49,2.35754,7.14688,6.68606,6.2501,10.4009,7.19829,11.7643,10.6431,4.19082,13.0511,7.61184,4.20531,8.72048,7.42861,8.61694,9.17851,7.62499,1.41842,11.1222,27.6238
50,1.8503,9.51724,6.31588,7.04253,7.53538,7.82252,7.55788,10.6167,2.39012,13.8779,7.20871,4.11912,4.63366,8.49187,8.74587,9.12247,7.12695,1.61305,8.80813,39.8809
51,2.00986,9.30754,6.64171,6.40653,9.79849,7.06016,9.83877,9.9326,3.17766,13.5753,8.01729,5.65555,8.17768,8.03693,9.44895,8.06148,7.95817,1.82605,10.7499,41.3132
52,1.42028,8.02692,6.97681,6.75121,9.18014,6.51385,12.2149,9.22379,4.41855,11.302,7.27985,6.48364,3.43359,8.21805,9.43028,8.59515,7.60049,2.00716,10.8933,30.3821
53,4.07609,8.25933,6.86328,7.04221,5.39437,8.56918,5.91488,9.57165,3.98982,13.8567,6.9259,3.91244,9.21303,4.82651,8.68015,8.05718,7.66942,1.96368,10.9654,12.3096
54,3.8122,8.53743,6.86025,8.85033,7.14363,7.18156,3.82356,10.6649,4.38662,14.2418,6.96413,7.79639,5.4042,7.99539,6.84494,9.2743,7.75498,0.846495,9.80618,42.7103
55,4.6728,8.53656,6.44656,8.37913,4.76696,7.24277,11.6397,9.9186,4.05009,10.6371,7.22922,3.69535,5.58936,6.14209,8.36395,8.2135,7.32115,1.17145,11.9465,37.7446
56,5.18813,7.21222,7.25386,5.96399,4.28644,9.03238,9.0657,12.1232,4.39497,14.005,7.67337,7.0855,3.85044,8.70654,8.43436,8.61031,7.71086,1.23127,8.74833,34.7732
57,4.23663,7.29971,6.45266,6.46896,6.07542,7.7457,13.5106,10.4322,4.73606,12.1208,8.36239,6.34294,5.13228,5.2975,10.0813,9.18289,7.28676,1.89341,11.4564,35.4766
58,3.65483,7.52879,6.42581,8.67083,4.0501,7.23754,3.90613,10.9067,1.71757,13.0552,6.69712,8.88835,8.71294,7.8931,9.57754,9.39693,7.29219,1.87857,10.1451,12.641
59,3.23327,9.52542,6.72953,8.87556,10.9869,7.51904,6.03526,11.7634,4.31705,14.9953,7.79003,3.64069,5.63733,8.22245,9.66139,9.40019,7.46626,1.78869,9.91271,37.8451
60,2.61546,6.90744,6.26314,6.7218,11.0636,7.85355,5.7515,11.1162,4.94261,13.2971,7.44986,10.9426,4.78987,8.21841,9.26949,9.44452,7.17564,2.06974,10.8052,30.6857
61,4.29853,9.94339,7.2477,7.35589,10.6728,7.02911,5.22896,11.1543,1.4081,15.8989,7.53962,4.16632,4.29343,8.39831,8.14947,8.71341,7.63428,1.92254,11.3578,29.3464
62,1.56995,7.95141,6.27628,6.69336,4.09979,9.12301,8.88934,10.5682,1.21635,13.4555,7.17329,8.99281,7.55097,5.25838,6.93104,9.0997,7.26235,1.96942,11.0176,29.6611
63,2.63065,9.2863,7.58313,9.11686,4.91978,6.7885,11.1253,8.51291,4.80804,14.983,8.60098,4.66211,6.30916,7.60065,6.56146,8.70155,7.07262,1.89267,11.448,18.3412
64,1.65934,6.87689,7.2328,6.42767,6.66539,6.82242,13.9309,12.5539,3.60011,10.3677,8.66892,9.41993,8.36995,7.51587,9.34958,9.48435,6.91959,1.97488,8.60804,15.8335
65,3.12055,8.33809,5.75232,8.30979,8.74737,7.04506,3.8697,9.95528,0.945833,14.3623,7.65648,6.06712,8.51817,8.105,9.71038,9.41256,7.47335,1.75468,10.9739,42.5005
66,5.20183,9.47195,7.47389,9.51089,7.89962,8.02778,10.326,9.32782,3.79652,15.377,8.38429,4.60542,3.89365,7.8503,9.8671,9.40415,6.69918,1.12877,11.9568,32.3032
67,2.1221,8.95035,6.26527,7.7077,4.52426,7.41123,8.37929,11.2054,4.12439,11.5698,8.48569,3.81001,8.88528,8.61763,8.06032,9.4492,7.11491,2.09847,12.1739,32.7144
68,4.08617,8.57587,7.68352,5.87237,5.3015,8.60915,12.7817,9.88464,2.1767,14.7356,8.509,8.22436,6.0898,8.59412,10.6797,8.49339,7.73225,2.07013,10.1914,30.7924
69,1.80835,8.0314,6.09907,7.53638,8.4696,9.23296,4.34105,8.39563,1.84119,13.189,6.60526,3.3809,7.1085,8.9612,7.10516,8.22179,7.5794,1.46384,9.44738,32.5787
