NodeNo,A.melanoleuca,C.dingo,D.marsupialis,E.barbara,L.pardalis,MeanShape,P.lotor,P.unica,PC1.max,PC1.min,PC2.max,PC2.min,S.harrisii,U.arctos,V.vulpes,V.zibetha,PC1pos.PC2pos,PC1pos.PC2neg,PC1neg.PC2pos,PC1neg.PC2neg
1744,16.8347,21.0886,18.1978,18.6018,11.8007,25.8865,21.2819,29.3688,6.61178,42.0204,21.5709,29.2184,8.09663,17.0066,33.4678,19.9225,9.16462,9.03857,43.8401,86.8347
1745,6.76638,26.8914,17.0794,19.2856,15.1928,8.0645,20.8943,24.583,6.54592,56.6312,23.8926,28.3753,19.5057,16.0529,30.4074,12.4275,10.2002,5.37296,47.3916,45.3402
1746,17.7185,5.07637,6.16797,8.7812,24.1268,17.5859,44.5829,25.9994,7.93027,57.5415,4.19966,11.5272,15.4048,8.30655,29.9722,24.2774,7.32466,8.53127,5.00048,20.0807
1747,13.7514,9.36847,15.6243,26.4897,24.8402,13.8541,26.4691,13.2789,6.68869,14.1357,3.92741,23.8129,13.1313,20.7595,30.0571,24.523,7.85605,10.2916,41.6542,8.58835
1748,15.2819,4.13406,10.547,23.6952,23.0532,10.6054,15.3879,15.5653,6.77106,6.71681,21.1736,19.002,18.8002,6.55111,26.0022,23.4631,7.29204,11.0832,9.13679,10.3457
1749,8.56031,25.3529,14.7039,21.2485,29.6995,6.29903,13.2213,27.4799,10.82,37.0396,4.22236,29.8268,17.5061,12.38,11.5903,20.2174,16.1749,9.75673,47.3619,86.984
1750,14.8412,30.1969,15.9545,21.7193,21.7979,8.10026,19.1673,22.6623,9.73937,54.3633,3.36035,14.1074,8.37531,21.6889,2.70297,17.0349,11.6774,6.51775,43.4594,99.4362
1751,9.66488,10.6779,9.5273,24.9811,17.9825,45.7626,24.9861,28.2852,7.07316,54.5397,20.8496,22.3477,7.04978,7.42698,31.7596,15.4345,13.3042,7.80754,45.1525,20.6672
1752,12.2221,3.87206,17.9517,13.9548,16.0191,21.0486,18.0803,17.2658,23.6262,58.9354,18.5467,21.4902,19.0954,9.09503,19.2265,15.8908,15.0768,11.2425,10.3294,81.5503
1753,15.0809,20.0029,17.3014,20.0638,28.2811,8.17566,12.9057,18.5904,12.4825,23.6407,18.9048,25.7921,7.89627,20.7764,4.627,24.317,14.7798,9.82285,28.3541,9.0305
1754,4.41901,27.72,6.81848,23.3417,22.5839,22.2004,23.6528,22.6876,6.3124,20.0771,13.1071,28.0523,21.602,6.97329,30.3826,10.0743,5.39799,6.02019,28.2087,99.0206
1755,12.8732,25.9125,15.4947,15.1569,13.7213,22.9253,15.5398,28.8379,10.5337,26.4789,12.2072,10.3955,8.49729,20.9504,14.2705,10.4497,5.67915,10.827,32.5276,86.968
1756,6.23037,30.0483,18.7111,10.2474,19.7655,29.7993,20.5063,36.6194,7.87647,50.1199,15.2343,21.4476,36.6028,12.7666,32.1514,21.0933,4.59605,10.1471,18.9576,97.2751
1757,7.71943,11.8145,18.2803,18.8056,23.6222,19.3092,16.0188,9.7338,6.34242,20.3055,17.8179,28.4032,10.3369,8.67468,28.8913,14.18,12.448,6.14429,13.0372,80.3741
1758,8.87468,10.9663,10.8724,11.9084,17.1781,23.0168,32.2855,15.5518,10.7014,9.36133,19.2345,24.3297,19.6313,17.0938,15.9763,7.76656,7.38655,5.81954,5.5243,66.9492
1759,18.7963,12.7091,12.3765,7.67737,20.9398,19.238,13.1768,23.4599,9.25742,48.2772,19.5828,10.2878,11.8151,15.4051,28.4107,8.2445,11.7231,6.55075,24.3097,82.2506
1760,6.51957,22.7374,2.22817,8.33681,23.3543,17.365,32.0008,12.1443,7.06458,57.8862,11.9983,9.73511,7.58511,11.9068,11.4333,14.5063,11.1742,8.84628,55.4583,79.9684
1761,8.07603,3.11852,7.90008,23.1574,20.3995,16.1863,24.4207,29.4274,9.27588,7.79539,11.8345,26.0438,11.4756,6.59883,22.1472,24.8356,4.99408,10.1362,31.7951,38.6955
1762,10.1135,19.6714,7.03092,23.4323,1.34825,8.08006,23.0916,29.1422,6.25631,57.8803,19.5065,11.3588,6.97892,6.43329,6.0857,24.1355,13.3695,8.0228,53.5881,26.4051
1763,12.2876,25.1111,17.8675,18.664,14.0174,22.3468,16.9344,36.7529,10.5365,19.3118,17.9342,19.0536,10.7318,19.2768,11.9707,16.4397,6.72782,5.79358,53.8019,70.2187
1764,5.10449,9.44906,14.9833,12.0639,14.6848,25.6868,19.5616,30.8226,6.25846,4.71196,14.7622,27.1065,7.80984,14.6891,4.15033,7.13,7.04478,6.30273,35.1627,91.9927
1765,16.0848,16.5817,6.59421,25.3823,17.9687,23.9168,14.1674,28.8173,9.60144,6.47295,21.692,25.3862,7.17148,21.1345,14.5078,22.4225,5.46823,5.88276,47.2975,83.8274
1766,7.6805,9.91855,17.7646,24.3916,18.4732,24.5243,18.7726,25.6186,7.87883,60.237,3.96291,29.2622,18.2769,9.82792,15.7732,3.43503,5.94476,10.0186,53.9677,8.46025
1767,12.5078,13.1979,16.3807,22.8483,19.8467,9.8425,43.7581,21.4176,6.25963,52.2328,13.7284,25.9165,17.8666,9.80294,29.2021,20.7803,13.2166,8.7584,39.8848,29.5803
1768,10.8832,30.1704,15.26,10.3817,30.2297,17.6198,12.8644,34.6669,2.62409,50.1928,18.1926,23.5331,16.2136,18.1508,26.2138,22.1418,5.70266,11.0466,17.6378,70.9457
1769,9.80407,23.0752,11.7399,9.47632,29.668,22.617,14.1231,29.4191,20.8006,11.4483,13.2595,16.2982,13.9175,15.9699,26.0645,6.50781,11.8893,8.67214,33.2659,73.1059
1770,10.5118,23.7013,16.5102,8.30812,27.5136,13.1602,15.2819,33.3731,25.44,22.1703,17.3853,28.6406,9.93933,13.5894,28.478,24.5031,6.54063,9.28634,20.513,78.2224
1771,13.3795,26.1937,16.5636,20.5869,11.6141,23.2147,38.5519,36.2366,5.63685,6.68851,17.3445,10.5758,14.4667,18.4817,31.442,20.7851,4.25879,8.04996,4.61615,24.0762
1772,14.6154,3.1244,14.3183,14.9721,10.6069,9.40377,14.5448,14.4876,10.0308,5.84401,18.3626,37.8956,9.31184,8.25729,15.9393,17.7578,11.6718,9.13967,41.3112,22.1624
1773,4.74074,11.0678,10.8761,10.7395,23.5623,7.64458,13.0072,27.0848,2.60465,33.0151,9.94981,10.6318,18.3746,19.3378,5.60048,23.6909,8.73939,6.13796,22.2765,98.8261
1774,8.62874,18.8142,14.0095,21.9565,27.2934,20.8343,14.8861,27.6251,34.7075,55.4355,20.6491,22.1697,12.6448,7.57558,31.6372,22.0964,10.4119,8.8361,29.2082,51.4851
1775,11.3385,16.475,17.091,11.361,10.3867,22.0412,8.72612,22.9054,1.58593,36.5491,22.0371,19.8219,6.30438,16.3675,11.8801,19.0933,12.2031,10.4994,51.0318,55.9061
1776,7.46457,29.3294,15.1265,15.0443,25.7936,8.11664,13.5274,29.1587,12.023,21.8626,21.5799,13.9951,18.4346,8.32001,28.6668,8.2167,8.87288,9.62922,25.0991,26.6799
1777,7.98704,23.5641,4.20879,9.32939,24.3256,25.6344,12.8108,27.902,3.98573,43.5234,16.928,26.6061,10.1313,13.9823,4.61564,18.4515,11.3692,7.11589,36.9646,82.8662
1778,8.13567,6.30503,2.56371,23.0415,16.5231,22.4559,20.8582,25.1818,4.37648,35.7442,20.0282,24.5947,13.7757,13.1779,12.224,21.9878,9.84132,11.1461,56.784,25.8468
1779,10.7104,21.7105,3.34561,19.2185,14.9787,21.2616,4.20015,32.0315,5.41725,47.2721,20.2634,21.2324,17.504,3.90835,29.0173,25.5647,11.0836,6.14819,47.3653,63.4937
1780,7.87049,14.1504,11.3778,7.99713,20.0167,23.912,14.9835,30.7194,5.57956,53.8978,23.879,22.0689,10.0024,35.0757,17.1848,11.3898,16.3773,20.6395,25.1745,9.84317
1781,10.157,26.4212,9.97623,12.5358,29.4019,11.6592,22.0088,17.8315,49.6316,61.4791,12.1581,14.16,18.6036,16.0574,32.4675,24.2188,4.43745,5.75065,52.1916,38.7058
1782,8.82156,9.95283,3.79066,20.196,13.3504,16.0887,23.6039,22.422,15.0516,15.457,4.04049,28.1805,10.8531,10.4625,19.7068,19.4285,12.9753,11.1857,55.4635,13.9261
1783,7.28794,21.5086,13.3748,17.4475,31.2195,23.9244,16.032,9.98459,26.6641,7.46029,19.399,20.4367,9.18859,12.2475,24.1486,13.6018,12.0194,10.9967,14.7547,11.7059
1784,13.1328,4.83763,4.86897,11.7675,23.6446,9.03606,20.8713,9.24243,16.4503,8.68208,16.3604,13.8676,8.66114,18.4323,24.573,19.5573,8.03195,9.8445,36.9526,51.2412
1785,7.23996,26.0426,8.65981,31.2054,29.0339,7.43077,24.4409,36.6566,28.0185,40.7704,14.3417,11.3449,7.03707,14.4031,9.71155,17.3099,7.28188,6.99473,22.2651,77.3257
1786,7.12647,24.2107,5.832,24.0249,13.1114,22.3867,15.5848,21.0792,7.10347,31.2951,17.8857,4.88173,19.2241,10.1268,27.3478,9.25392,5.00146,4.137,55.0943,97.3886
1787,7.11008,6.89765,19.0756,21.043,22.7719,23.8317,45.4066,9.57676,9.79998,14.9102,20.1199,3.89992,8.3408,14.8896,7.68896,4.21891,4.38386,10.5618,52.1612,97.9178
1788,15.2843,22.6,13.0362,15.1654,17.4159,18.5982,36.787,27.3475,10.7591,17.2894,22.3118,22.3377,13.0032,11.1223,33.3769,21.0952,12.0999,10.823,55.6482,19.5373
1789,15.7351,21.5264,15.19,16.2514,12.0117,23.678,23.6421,18.8662,7.98242,26.3625,3.84731,23.0143,10.4379,7.08412,20.4981,12.4702,10.9151,10.7748,8.43938,20.3985
1790,9.51462,10.8639,10.4259,23.3433,27.7412,22.0861,23.0714,11.9743,10.1602,23.1311,19.1133,18.7852,6.9834,20.5817,29.5574,24.7666,4.43829,7.80628,56.0767,38.863
1791,8.16877,3.86184,9.02806,21.9798,29.0829,7.6473,27.5851,20.1746,8.07442,43.8414,14.0888,28.5106,20.0372,15.0875,6.97058,23.0379,5.86346,9.75358,22.5328,58.8486
1792,15.7939,3.87545,12.7767,10.8312,23.4273,8.02211,27.1501,23.9132,6.55144,18.1894,17.1044,26.5313,14.0888,18.9156,23.242,15.474,11.3332,9.75239,3.00883,40.5638
1793,6.91121,15.7336,5.29709,10.0674,23.712,11.702,6.52449,25.9473,9.24272,7.89027,14.7959,7.35593,19.4931,15.9456,30.972,19.1554,8.02801,11.3689,52.4129,87.0193
1794,8.46858,7.11558,14.534,23.8998,12.2692,7.39212,21.7607,19.3104,8.24776,55.3211,20.6521,26.0897,15.775,12.7732,32.6326,3.5599,6.65245,8.81285,13.6807,70.121
1795,14.6965,26.7215,3.48303,20.2279,3.89378,17.4666,26.4455,30.3038,6.76137,7.43831,19.7317,12.2381,18.8429,12.4979,33.5652,11.9809,16.9893,7.4595,28.9735,87.9581
1796,5.66371,11.7126,10.357,15.9156,23.7851,20.4398,15.7253,32.9011,7.14333,30.0854,3.92457,14.7429,10.1803,6.51298,14.0015,12.0353,4.46217,6.20449,15.7865,17.5371
1797,17.3586,4.59199,9.69138,26.5594,10.308,20.8592,16.9414,26.6991,9.00065,41.6184,6.78257,17.5334,9.6583,20.592,23.5618,10.7649,11.2583,10.3363,49.733,88.7271
1798,15.0302,3.68621,19.1336,8.72991,21.9749,18.3668,37.7613,39.0659,8.13307,29.3938,12.1407,12.4204,14.2522,5.86584,15.3625,22.6662,4.94856,11.3408,19.5849,10.5914
1799,6.4378,26.4275,16.7576,30.8092,25.2913,8.44638,13.386,33.4897,10.7529,34.6157,19.1476,28.3861,7.50077,19.0955,13.4369,24.4438,10.822,11.1228,30.3336,36.5924
1800,7.6989,28.977,18.5319,18.762,10.2319,7.76222,17.9718,11.7816,6.33314,11.4729,18.5223,12.8173,12.3099,9.37457,23.8258,9.84727,4.16094,11.3168,32.294,75.9582
1801,20.7736,11.9344,18.752,25.5418,7.36858,25.939,22.421,26.1131,10.6785,60.1699,12.1088,28.5815,13.6935,6.4383,21.5458,18.1349,10.98,10.7389,2.27353,46.3488
1802,14.669,25.9258,16.0486,21.0517,26.4507,26.0447,25.3973,19.5309,6.81622,53.5816,4.09686,19.2228,9.35055,9.10245,21.8743,12.7942,5.7398,10.3115,8.37865,87.63
1803,12.4127,17.9866,18.096,8.35392,10.4797,23.995,13.7905,30.371,5.93785,27.6179,15.8627,10.3482,20.5856,7.99432,32.5765,3.75588,24.3464,16.7975,1.379,95.141
1804,17.1109,15.4904,18.3173,9.59152,14.6077,14.756,42.876,9.17273,9.05824,10.7619,11.222,11.21,12.0643,7.15012,18.0176,20.1461,11.5391,6.93256,3.91569,26.0321
1805,7.26814,26.6164,12.1685,11.1159,10.158,19.9152,17.5365,29.398,6.63348,44.6256,22.1366,8.04035,7.75123,15.6215,26.1072,14.9388,12.2794,8.0441,56.3183,31.4575
1806,11.2191,23.4303,3.476,9.20243,18.001,13.8749,11.5217,14.7902,6.12718,42.7391,15.098,25.334,7.17684,8.52243,5.56836,24.256,5.58875,6.52219,26.2285,85.4605
1807,11.1222,5.25576,2.05129,10.0738,24.0727,7.94928,18.769,29.6547,7.75787,58.1282,11.4913,20.9531,15.4096,15.7683,13.353,10.7226,4.56326,11.065,32.088,32.5686
1808,7.64305,3.17079,8.4867,12.7845,23.4159,23.5415,38.8956,22.5258,10.0801,58.3523,23.2266,30.1447,10.7924,9.43773,12.0137,18.8377,6.11698,10.1785,6.31988,52.6918
1809,7.58127,19.9619,2.76277,24.8077,30.141,22.5843,38.7689,29.8829,7.24327,12.5824,20.7109,29.4532,20.6668,14.7862,25.2893,25.2283,4.30942,8.44421,18.7334,46.4896
1810,12.6629,5.89403,17.9023,24.517,21.6103,25.0829,12.2444,30.9407,6.68781,54.2413,11.9934,33.521,13.6575,7.60736,22.5384,9.91607,14.5855,9.48287,1.50215,50.0579
1811,11.9976,25.6828,11.6839,14.9364,11.4794,11.5093,27.648,28.6046,6.26861,57.0674,5.35461,14.8281,19.884,8.27736,30.7352,15.6969,8.05267,6.17435,34.1087,39.9612
1812,11.9813,9.24849,17.8323,25.1972,30.4563,22.843,29.8942,20.5582,7.63288,56.2273,3.9377,10.5278,11.6483,13.9387,24.805,25.5489,14.2457,12.5436,37.1401,87.118
1813,7.47638,26.2843,3.13875,11.8565,19.2494,17.2517,15.3009,10.1773,6.57558,46.8881,13.2788,27.4913,6.75681,15.0726,2.93144,7.02187,11.9916,3.99531,27.0029,88.3018
1814,12.9201,14.1778,16.4482,8.18832,16.1332,25.9407,23.6433,24.6407,10.3258,19.7677,19.4473,9.70547,18.6726,20.2356,3.67264,10.2283,11.729,8.42822,51.651,9.27907
1815,15.6366,20.3524,12.1639,10.9426,31.212,24.3691,28.3865,11.7613,6.086,24.7064,9.46845,28.3875,16.7257,21.5401,10.0997,11.4224,5.00627,10.126,9.48044,57.3778
1816,16.5244,18.3804,19.1097,8.72963,28.3919,17.0239,26.6248,13.8166,10.2232,40.2847,24.6018,15.6369,19.166,8.95444,3.81409,24.0282,4.34314,8.43262,16.5283,19.1602
1817,18.1265,26.4032,10.119,23.2904,24.7992,26.3366,34.4614,27.8103,6.45602,59.7977,22.8399,25.8924,13.4429,11.6614,18.5215,12.6869,11.5906,10.4156,10.6568,164.776
1818,8.59587,24.0862,2.45668,11.4269,28.3269,7.87315,15.669,28.7188,5.16627,43.7291,7.27163,21.6962,11.076,18.3107,29.0232,7.5234,12.6205,5.86184,37.8088,66.4128
1819,7.22635,24.9246,14.4794,20.0346,27.3664,10.4449,35.6578,22.9469,26.4591,59.0407,17.1447,13.4706,20.2515,7.86367,11.3003,16.0444,12.7634,10.6137,54.8818,10.7154
1820,6.44898,31.5159,18.7153,25.377,22.0305,8.63233,14.9899,28.4304,10.3773,12.1363,16.8966,15.5935,7.13985,15.2108,33.77,20.3714,12.1648,5.76431,59.5156,80.2115
1821,12.4714,31.4062,3.83225,7.92655,13.9641,15.6595,20.4794,27.9616,10.3875,6.07494,5.5558,29.6736,15.8929,15.4341,29.1016,23.3773,9.67979,11.2693,50.0624,36.1385
1822,18.2858,10.3512,18.0205,24.1622,25.163,7.38521,22.5565,34.9698,6.06622,16.524,14.6956,25.4633,17.4002,6.37538,3.24983,13.4684,4.09666,5.75626,54.7765,60.63
1823,10.5503,5.6392,18.149,13.5895,23.7479,23.8752,25.433,27.0418,6.20032,53.7035,19.8189,30.1233,13.8329,18.3892,12.7338,14.6461,4.77265,11.0526,49.517,94.1824
1824,9.78264,21.0694,17.8867,24.3344,20.0106,11.4251,34.7382,28.4059,10.317,12.7903,13.5159,16.8155,11.1507,30.8161,31.2502,16.3425,14.2444,6.61073,13.4439,97.8549
1825,14.4041,20.9445,17.3242,14.4025,14.3124,7.8086,15.3897,24.792,6.75303,54.4228,22.5868,24.7184,7.27541,6.66819,11.7862,3.47466,4.87147,9.23214,14.7992,112.364
1826,10.1565,19.0124,13.3062,10.757,29.2342,14.5852,11.7374,38.193,9.85406,34.5286,17.8835,26.8498,18.7125,11.9884,25.2367,13.5226,9.01408,9.17029,41.4812,41.3055
1827,9.3563,25.8355,16.6199,15.8241,27.6245,7.34936,15.5396,17.0928,6.27879,6.2244,14.2248,18.1297,13.5117,12.9966,24.7902,4.92234,11.201,6.84537,34.5985,63.891
1828,6.62086,8.71386,3.54144,14.7132,29.1396,9.16513,41.8325,7.44649,6.76474,13.5658,13.0767,22.9355,10.4545,13.9585,28.2233,8.77039,5.16071,9.32695,11.8988,77.143
1829,13.705,20.8862,6.63741,22.7906,25.6035,11.6343,18.2139,25.2056,6.13162,60.8806,4.79651,29.5819,8.53859,13.444,5.32652,6.44974,10.1936,9.84484,53.5172,71.1443
1830,18.022,9.57966,13.3939,25.7952,23.0345,20.3345,15.408,28.1363,9.8316,55.211,21.9838,24.2323,16.8957,17.1843,34.5521,3.20963,5.87666,7.87882,44.6301,33.741
1831,9.90042,29.6192,16.2455,14.9146,9.93932,25.588,12.8695,29.2747,8.95247,21.7461,23.1961,10.3057,12.7728,8.7042,29.6893,20.1477,4.25035,11.4409,45.9495,13.6473
1832,7.47738,10.7383,10.2071,22.4563,20.9805,24.4825,34.2794,25.0712,14.3327,28.6543,5.93527,10.7511,9.15424,19.7836,2.44713,25.7089,9.50724,10.3001,55.7111,94.5628
1833,6.90928,25.1882,13.9698,16.7263,32.1036,14.0752,13.1451,32.513,6.70059,53.4778,19.0406,26.5876,10.7769,8.428,26.6804,21.9816,9.64689,6.00303,58.8777,58.8822
1834,15.7965,19.2012,18.6406,15.3933,29.2643,12.8678,16.3592,9.8351,9.41929,5.53182,8.81726,24.2451,10.2389,10.5355,25.8934,23.7893,4.51034,8.6157,59.7652,35.1628
1835,23.6396,14.2385,18.7545,16.9431,18.5305,22.9177,24.6761,9.99875,10.1991,53.443,7.78303,20.4203,13.5642,21.2597,14.4524,18.8002,27.0301,11.1793,30.9269,8.94004
1836,7.93072,3.20879,16.4569,23.6231,24.5621,9.18291,16.7571,28.9898,8.78378,34.6923,17.2469,30.0288,11.3097,14.5159,28.7421,22.5157,13.9997,9.07192,4.55793,88.539
1837,6.85229,26.2961,19.3734,13.5994,30.2335,9.6472,35.0478,16.1499,10.3854,9.1102,16.8517,28.4945,13.412,7.02737,34.0357,19.0294,4.84286,6.32912,6.19715,77.8872
1838,7.13421,17.3714,7.42064,25.6072,2.51253,23.6353,15.602,21.2155,7.72936,47.9661,16.5353,19.4178,11.6559,17.5335,23.1398,15.4917,12.3979,6.49607,45.021,91.8837
1839,12.3695,26.8549,17.7758,9.99193,28.7858,7.89641,17.2625,31.3022,7.16996,47.9822,4.51995,30.0976,21.2969,11.8147,28.7123,23.9729,9.80594,8.05498,40.5892,11.2896
1840,7.25522,13.707,5.93095,8.27696,24.2118,13.4837,14.9064,17.8266,7.08592,31.8305,6.79465,25.6362,19.7467,18.8604,6.46583,11.4797,12.6094,5.94637,44.0182,24.3948
1841,6.6947,14.5197,12.5242,26.6228,13.0277,20.0003,25.4588,11.0848,7.06435,6.95111,20.0106,13.3984,9.19927,11.1581,15.9027,6.55272,9.24975,8.55785,55.7801,18.6906
1842,14.3626,26.553,18.6724,23.7151,31.4569,25.0291,27.6787,22.1999,7.56285,43.9652,12.6905,10.5503,12.3298,6.38604,8.56298,17.9815,9.33721,11.1908,35.224,89.5972
1843,7.32298,11.3162,11.0999,10.1055,17.534,22.7813,28.2701,19.1399,6.97571,13.2458,12.7288,11.5665,13.7518,21.2217,22.026,24.7907,4.10459,9.14763,56.7619,87.6649
1844,9.36422,17.629,11.4869,18.0461,23.843,14.0719,31.1966,33.1997,6.26063,6.71771,10.6763,29.9059,17.8562,15.9379,29.6326,10.2548,7.48367,11.1818,56.1422,60.8479
1845,7.42392,7.278,15.5535,16.5488,21.9069,21.7303,12.7345,30.7272,5.22948,46.6748,5.94513,26.9558,13.8805,16.8986,19.8306,6.11529,4.25339,9.66934,58.7949,101.238
1846,7.68395,16.9954,2.28959,16.6227,19.7564,7.19923,20.0956,9.14616,7.32488,11.0373,9.43366,27.2068,7.31462,22.1154,7.10166,24.7247,4.34425,19.9317,13.1507,12.3009
1847,7.12613,3.58302,18.942,8.03326,23.9306,23.8644,23.2564,15.9466,9.90234,58.5988,14.5042,29.5698,11.6932,20.1332,16.9112,17.6463,5.37577,10.2421,28.5906,91.7829
1848,13.6187,13.7103,19.0654,29.3675,24.5226,24.1248,16.306,22.4278,7.90343,28.0466,16.3895,29.9875,18.7758,7.60166,30.8881,3.69882,7.94485,5.70229,50.9841,68.3822
1849,7.70831,23.2309,11.0589,22.4966,23.5705,26.6678,26.3797,9.33587,6.95503,56.0125,10.8435,10.714,10.5141,14.1117,16.0486,3.77778,7.33536,9.98583,43.7651,100.18
1850,7.4274,22.76,4.62389,14.3023,24.4775,24.0627,40.959,13.5929,9.4093,5.18852,18.4352,9.35137,7.24912,11.4026,4.93121,9.92369,5.19318,13.6451,12.3045,102.003
1851,7.21066,25.5063,18.6126,9.89356,27.9844,23.1461,13.8608,28.9928,7.73557,41.2123,4.11545,27.0524,13.1556,13.5645,11.67,4.35391,8.45668,4.50348,7.2431,80.0828
1852,15.611,9.91807,10.5276,22.0062,24.9641,36.224,15.7649,18.3765,7.26381,52.8571,11.0575,11.7561,7.77832,15.6882,8.92321,26.0029,7.40358,9.21354,33.4455,58.3825
1853,8.70164,21.8035,3.87064,26.2173,24.1214,25.3326,26.8304,19.7638,8.34341,26.1124,22.0069,11.7114,18.9967,14.704,30.5195,2.79287,11.7993,6.29727,45.5403,95.3447
1854,11.0595,8.93924,12.0406,23.2842,14.6205,24.1886,41.9824,38.1939,5.94682,50.955,20.6954,10.8119,15.4067,21.4295,29.4598,10.5115,6.48364,6.91098,50.6221,38.4906
1855,7.093,8.0514,17.6713,20.7186,16.3907,24.6505,23.3321,19.981,9.00825,26.097,22.2054,21.8944,19.7818,10.0682,20.7101,10.3982,8.76704,8.03181,39.2379,43.4231
1856,7.2819,14.8965,17.6882,25.9647,12.2126,10.2368,25.8956,20.6163,7.46203,38.3803,21.3934,17.2033,19.1186,16.4081,28.8446,17.2442,5.79159,10.6684,2.87423,87.4222
1857,8.42125,20.4995,18.6973,7.85543,24.0558,24.4334,14.2044,11.162,6.64381,49.2368,16.1332,6.39065,15.2809,10.6158,30.9713,20.1877,11.9031,9.39773,51.3985,82.7621
1858,9.99602,22.1803,3.21244,12.2992,17.7586,15.7797,43.0313,14.9405,7.47956,30.9303,22.5648,30.2699,8.35176,9.9751,31.0145,21.7164,4.46531,10.7371,55.2815,9.77078
1859,8.79606,9.28419,16.2701,8.90897,24.1697,26.6703,13.7899,24.6819,8.66147,17.9479,15.4122,25.3795,7.65475,15.9489,26.7059,24.2332,13.04,10.213,18.8875,44.1113
1860,6.63695,16.7956,19.1051,24.8166,24.5354,22.0482,11.8639,38.6051,5.96218,5.16252,18.6751,14.9353,8.09257,8.04794,34.1692,13.3158,4.63741,9.77135,3.227,98.2993
1861,6.34643,27.7388,16.9642,8.47062,23.9834,25.0794,14.8975,23.8615,6.8536,6.29787,13.1186,30.4184,11.1962,16.4434,28.4961,11.2158,4.2399,7.01392,54.4146,59.022
1862,9.20347,26.9173,12.6743,24.1105,10.7481,7.51241,17.1119,32.6299,6.07032,18.2247,18.5353,10.2445,5.73528,6.65508,33.2967,14.4289,7.63794,9.846,9.95456,84.8362
1863,15.4895,2.95961,10.4207,21.3864,18.7918,22.3681,16.5988,31.2516,9.53571,22.6347,22.0059,10.3924,18.0952,8.29149,7.61577,13.1624,14.6403,9.55564,55.8953,15.3239
1864,12.9825,2.92992,18.7132,15.8448,24.2624,19.6321,27.4915,25.2925,14.9711,57.8676,19.9072,11.3293,12.7808,6.52827,20.9535,14.4196,5.60712,10.9033,48.7605,15.5411
1865,12.9956,4.13725,1.95481,9.86316,23.8281,20.7629,44.0404,6.40882,10.1565,7.10693,22.8926,15.3068,6.84101,8.86224,22.6676,21.5979,6.47165,6.89142,55.1725,71.3049
1866,7.01496,12.9308,13.489,10.8195,24.2389,7.47232,16.0513,14.4861,9.81788,40.4803,20.8396,12.6508,19.8484,18.2825,29.3664,4.67895,13.2955,11.3539,20.0417,89.3185
1867,17.1577,16.7635,5.65973,22.8033,24.127,20.6945,33.3086,17.2135,9.40911,9.9086,2.81573,20.1322,5.73546,21.2981,28.319,25.3346,13.2385,10.1902,44.0648,68.3916
1868,15.4965,16.7267,12.9787,19.4214,15.683,19.2855,10.2918,27.0828,9.57064,27.5225,20.2613,23.3763,19.2683,6.86255,33.0576,5.2313,11.1412,9.32309,12.922,56.6742
1869,16.3307,25.9012,19.4917,23.0325,11.3792,10.6424,9.65076,30.6203,10.2272,58.289,20.2142,13.5872,14.0949,7.09944,32.6727,15.814,10.5854,10.0652,3.76649,87.6012
1870,10.3967,24.4884,3.70939,14.6682,26.2214,7.79868,15.1418,29.1847,10.5504,49.5516,8.55053,22.253,18.1173,7.61927,27.6555,20.0999,4.99146,7.7209,24.1632,89.9144
1871,5.02676,23.0597,19.7248,9.13054,28.3901,22.6344,14.6334,13.4678,6.14344,12.6982,15.9239,29.7914,12.4577,13.7625,29.849,10.6799,10.6213,11.7929,7.0601,51.8269
1872,6.77159,15.3413,20.0233,20.9211,4.65773,8.20554,19.4088,31.0723,9.77629,62.183,18.3141,17.3788,10.144,12.5908,18.1092,22.6757,5.43102,6.2174,44.8311,9.45525
1873,6.858,3.75893,19.6205,22.4871,13.7542,17.9541,20.3079,24.9673,9.86332,6.08307,12.8552,18.4731,17.5965,9.61131,11.645,19.9754,6.99766,4.69155,23.5587,65.5856
1874,14.7153,5.08375,9.9327,29.3498,23.4315,24.5602,13.5479,7.09779,6.49128,20.906,13.7007,28.9144,13.1064,16.6399,20.8483,16.2033,11.0609,8.79849,54.2632,26.8994
1875,12.6491,5.44879,20.1658,26.364,10.9137,13.0547,25.6081,25.7518,8.03799,35.1217,2.39436,19.3748,11.8803,19.1123,10.2285,20.6274,5.88632,7.92425,37.3868,87.5862
1876,10.8183,19.1355,11.1831,24.8274,15.4626,22.8149,25.9435,28.9172,8.46412,11.2135,18.5923,10.0495,13.7683,15.1487,32.9345,18.0163,12.1199,7.55755,8.78614,89.8981
1877,7.36608,3.97876,5.47933,23.8826,13.0805,9.85671,22.3715,29.1938,6.43503,28.0105,22.251,24.8631,6.55569,18.4882,11.4505,24.4582,6.19229,5.90456,18.0878,36.8138
1878,2.77423,15.6612,19.0337,11.6535,18.4019,18.4905,13.7758,26.1466,8.52221,25.1152,3.83177,21.0201,24.9507,9.14043,11.2006,22.335,5.59502,8.90283,56.3392,94.9722
1879,15.4165,26.8064,4.96787,13.1363,20.9626,23.5385,13.1153,18.8651,10.2426,50.6179,24.454,19.2816,7.06053,21.9105,34.155,20.9827,11.6808,9.07638,8.66195,87.5655
