NodeNo.,A.melanoleuca,C.dingo,D.marsupialis,E.barbara,L.pardalis,MeanShape,P.lotor,P.uncia,PC1.max,PC1.min,PC2.max,PC2.min,S.harrisii,U.arctos,V.vulpes,V.zibetha,PC1pos.PC2pos,PC1pos.PC2neg,PC1neg.PC2pos,PC1neg.PC2neg
31,12.1151,13.1884,9.59651,26.3441,22.7396,24.5728,17.9728,30.9531,3.65854,33.7126,7.65346,8.09261,15.6018,19.3852,14.5541,13.0222,9.43186,6.87551,22.0948,53.8325
32,12.0404,13.4033,6.90627,25.0448,24.076,24.79,9.39232,31.2189,7.13008,38.064,6.92349,15.0432,15.9485,20.2912,13.3145,10.5128,8.48023,8.38394,15.3829,51.6984
33,12.5536,15.0967,7.11821,24.9954,23.7539,24.8634,22.8315,30.9508,5.61128,36.4086,7.94661,13.0116,16.0213,19.5088,12.4294,10.595,9.71728,7.30148,20.6533,51.5584
34,12.5932,12.9763,6.88582,25.9909,23.7256,20.701,15.1462,32.2607,2.03183,37.4058,9.84118,6.61357,15.7114,19.5082,16.2527,12.6616,8.11284,8.75361,13.2366,51.6194
35,8.45213,15.3288,8.29923,25.4975,24.1321,24.7938,6.5389,28.6344,3.11411,38.4031,8.32577,6.81435,19.3508,18.8071,12.4147,12.1523,9.78849,7.84106,14.7428,53.2265
36,3.35577,12.615,9.8931,25.5172,22.2605,24.4337,17.743,31.3231,8.94161,37.5948,8.3853,9.95042,19.6003,20.8099,16.4275,10.9843,9.73636,6.75893,18.5265,53.6766
37,2.71092,15.5772,9.49468,25.6637,21.2647,21.6006,17.1361,31.0745,8.6365,31.4003,10.3007,14.6371,15.4361,20.4653,16.5229,11.1981,9.76845,8.06715,12.3849,51.7851
38,12.2431,12.1439,8.99153,25.2072,22.4344,20.921,10.0238,30.7427,7.25566,38.4936,9.61734,7.66274,20.4397,20.2582,16.6723,10.6921,8.34773,8.37124,18.6517,44.3755
39,15.4549,12.8765,7.46801,25.2159,23.9569,24.7821,7.26846,27.4826,8.76137,30.4205,10.6951,17.0653,17.5964,19.4573,11.6647,13.1807,7.98447,6.65156,16.0034,52.4747
40,11.0772,15.4073,9.14627,25.653,23.9485,24.2652,12.6762,28.53,2.72538,29.5027,6.71236,15.7959,16.2305,19.8516,13.3651,11.3869,9.62024,7.65742,23.4877,52.9806
41,12.2112,11.8209,10.0197,25.1618,22.0837,25.055,6.25423,30.5096,2.56682,34.5084,9.2821,16.9322,18.09,20.7886,11.6197,10.1193,9.69218,8.52072,17.6201,53.9818
42,5.6965,11.9824,8.82619,25.6745,23.813,24.3914,17.8406,29.5826,9.24472,31.3448,9.48956,11.9747,18.9847,18.3544,14.9553,11.3037,8.107,6.49386,23.0958,51.8658
43,12.8559,14.4503,8.19852,25.5887,21.4766,21.1289,14.9662,28.8664,3.7806,35.59,7.35601,16.6567,19.1813,19.5586,16.1918,10.5863,8.62825,6.35894,12.6749,53.6957
44,12.7374,15.8497,9.9501,25.2939,22.8219,24.7175,20.2993,27.4917,7.43401,39.1523,9.66435,18.9597,16.1914,19.5065,16.7994,13.3619,7.9044,7.48931,19.3835,57.027
45,9.20886,11.6935,8.10642,25.2985,22.8833,24.726,20.12,27.5552,6.19188,29.3958,9.14356,16.5744,20.3271,20.7973,13.8182,12.5927,9.15045,9.31393,13.4277,57.1939
46,10.776,15.6619,7.75081,24.9403,23.9849,24.9,9.46677,30.0772,3.41126,29.8689,6.45698,13.5695,17.3906,19.6089,11.1509,11.698,9.85297,9.46908,16.5469,49.9059
47,9.49249,15.9568,7.82404,25.5761,23.5382,23.5109,19.8785,30.0569,5.57421,39.0881,10.179,5.3002,16.9554,20.0362,16.8394,12.9324,9.96976,8.17856,14.9078,50.4223
48,10.976,15.1171,9.63965,25.7612,21.5956,20.1949,6.17506,30.9741,8.55746,33.9211,7.01332,15.1535,18.7768,19.2102,12.9109,9.82036,7.83603,8.14856,17.821,54.3047
49,5.24446,12.3987,9.43227,26.8302,20.9258,24.1432,16.8161,29.5451,9.57864,37.9441,10.6996,17.7105,21.5503,19.602,13.7652,13.3728,9.52715,8.42651,21.7476,55.896
50,8.3499,13.5685,6.7508,26.3158,23.1353,24.5845,19.6753,31.5943,5.80319,33.2975,10.2503,12.1419,17.0637,20.6269,16.546,13.5716,8.43373,7.50675,11.7319,48.6726
51,11.9343,15.0417,7.12415,26.6209,21.9205,23.0986,20.5086,26.9188,7.07453,37.03,7.66117,18.8334,19.3099,19.0075,17.3688,10.2714,9.52093,7.52012,21.0852,48.7421
52,9.16418,14.1665,8.49839,25.5462,21.6459,25.1654,23.3561,27.7243,9.15975,38.8026,10.9381,15.9977,19.2194,20.7115,15.9867,12.31,9.57932,6.41556,23.0466,53.8894
53,13.1033,14.7821,7.60465,26.1178,24.3265,22.6931,18.848,26.3294,8.62107,35.6768,6.66126,14.6677,20.3488,19.2586,15.914,9.75697,7.90058,7.16499,22.3163,46.491
