NodeNo,A.melanoleuca,C.dingo,D.marsupialis,E.barbara,L.pardalis,MeanShape,P.lotor,P.uncia,PC1.max,PC1.min,PC2.max,PC2.min,S.harrisii,U.arctos,V.vulpes,V.zibetha,PC1pos.PC2pos,PC1pos.PC2neg,PC1neg.PC2pos,PC1neg.PC2neg
31,10.53,41.6422,31.6046,27.8192,31.2414,30.8812,16.8919,51.9888,3.42531,112.233,27.1353,6.70732,17.2172,19.6847,82.4899,41.8681,11.2318,5.89782,93.3344,56.1192
32,9.88012,40.8898,34.529,27.3643,31.8057,32.3522,8.18529,45.8824,6.55193,106.654,30.995,12.8899,16.75,22.04,83.0436,46.2373,11.2823,6.66204,97.5318,51.634
33,10.3909,41.2875,32.8232,28.2444,30.1901,31.3791,20.0531,50.6192,5.20219,110.186,30.4187,11.1163,17.9382,19.3692,83.7279,47.4792,11.2207,6.25859,90.6715,51.8608
34,10.7548,41.6621,34.6758,27.548,32.1589,34.149,14.8167,46.4131,1.66149,109.076,27.6881,5.56258,16.6827,19.5926,68.0387,41.8255,11.9306,6.79842,93.0164,52.802
35,6.77225,41.8879,30.8288,27.209,31.5374,30.8944,5.62261,53.7452,2.78595,103.015,30.309,5.71693,21.5855,19.9616,83.6354,42.9193,10.1572,6.616,98.8072,56.5095
36,2.68134,42.4571,31.0467,30.6031,30.9282,33.7411,17.0969,52.05,8.46824,106.279,27.7191,8.48619,21.6541,23.3233,68.5329,45.5396,10.6158,5.78834,88.8763,57.9567
37,2.14773,40.7327,31.3516,27.8943,28.3175,34.2024,16.7881,48.582,8.15088,112.556,27.1256,12.3634,16.2367,22.7845,84.8588,44.5836,10.9734,6.74152,94.5174,55.4105
38,10.0374,42.362,31.0488,30.4362,29.1834,34.9572,9.73265,48.1889,6.79838,105.806,28.0468,6.41851,23.0263,22.3305,70.8652,46.4419,11.7962,6.50818,98.6715,46.4324
39,11.6808,42.1749,32.8622,28.9491,30.2154,32.6035,6.81283,54.288,8.25812,112.984,26.62,14.6969,18.5819,19.1919,82.5795,40.7865,11.8334,5.41756,97.855,54.0601
40,9.59546,40.3593,31.8259,31.1994,30.0756,32.9576,12.4112,53.6869,2.44277,114.424,29.5577,13.5462,17.5911,21.6413,59.3517,41.5341,10.1823,6.55004,93.5765,56.4366
41,9.87629,42.5465,30.5822,28.1341,30.9907,31.3094,6.03176,53.1934,2.32182,111.957,25.8634,14.4857,19.6283,23.6335,83.6744,46.7154,11.2246,6.88058,88.3424,56.7269
42,4.80381,42.7573,32.1064,26.958,29.9831,32.8019,17.606,53.3213,8.8291,113.22,29.0214,10.0827,21.2556,19.0322,70.0488,43.2888,11.7564,5.53933,93.5036,55.868
43,11.2372,41.8032,31.5677,27.586,29.6204,34.9769,13.2743,53.1911,3.32711,110.141,27.775,14.3053,21.0045,20.9368,76.4733,45.2262,10.7673,5.30307,97.5945,58.3523
44,11.2777,40.5541,30.7381,31.0335,31.5944,30.5903,19.3851,53.6604,6.74875,105.329,25.7305,15.2778,18.0427,23.5347,82.9683,41.3814,11.9195,5.95318,98.9873,61.1972
45,7.44765,42.5615,32.779,31.2149,29.4543,33.1087,19.7844,54.6707,5.61142,114.083,29.2621,14.102,22.8716,23.7306,80.4516,39.4982,11.4459,7.10572,98.0224,56.3831
46,8.45637,41.4971,32.6931,29.6587,30.68,31.8492,8.16314,53.3059,2.963,114.464,30.2413,11.2977,18.7134,19.5825,83.6789,40.6983,9.92846,7.20446,88.8899,52.6759
47,8.16535,41.0095,33.1311,28.4355,32.2791,34.3089,19.7715,53.3116,5.20843,102.658,27.6732,4.45399,19.1191,23.8015,74.2544,39.554,10.113,6.76466,88.4483,53.742
48,8.89981,40.2442,30.9594,31.3147,30.0835,34.0275,5.09424,52.8348,8.14111,113.199,28.8198,12.9039,19.4948,23.5069,80.3291,45.9216,11.9116,6.96177,98.7793,54.3877
49,4.01176,42.1502,31.2706,27.9031,28.7206,34.7482,16.5789,53.2265,9.1923,107.319,27.0117,15.289,24.6218,23.5761,82.9494,40.1303,10.3527,6.67347,96.3867,54.8124
