NodeNo,A.melanoleuca,C.dingo,D.marsupialis,E.barbara,L.pardalis,MeanShape,P.lotor,P.uncia,PC1.max,PC1.min,PC2.max,PC2.min,S.harrisii,U.arctos,V.vulpes,V.zibetha,PC1pos.PC2pos,PC1pos.PC2neg,PC1neg.PC2pos,PC1neg.PC2neg
1,3.53722,13.8674,24.6114,6.27558,9.29639,1.56056,6.51638,16.4818,2.10566,17.0334,27.2692,4.23255,4.91756,2.91694,32.8374,19.7868,6.94398,1.7991,50.7026,15.9868
2,4.87194,14.3826,21.6973,6.55727,12.0673,1.53821,7.32093,17.3225,2.04899,22.0043,27.5873,4.85958,6.00217,3.3895,28.2422,21.0054,8.03978,1.72778,53.9909,14.2981
3,4.36728,12.7547,25.6716,4.75001,10.7141,1.41277,7.40506,15.9561,1.93554,14.0069,25.0925,4.99113,5.77459,2.39878,23.1797,17.7101,7.78645,2.09385,51.3996,18.3581
4,3.91099,10.8853,22.8862,4.78896,8.05485,2.24376,7.84255,12.2775,2.05823,28.8638,27.6191,4.38176,5.63891,2.01889,35.0562,23.4492,7.35791,2.16867,47.483,14.0529
5,3.98456,12.0756,25.8692,4.66669,9.26977,1.98429,8.5403,13.9772,1.8564,25.6905,23.2971,4.96332,4.29757,3.95838,24.0184,20.7214,6.40992,1.49771,66.1145,18.1857
6,3.63778,12.9312,22.3298,3.66689,8.75086,1.9623,6.62225,15.6963,2.007,29.6365,28.2262,4.65475,5.23138,1.91743,25.2636,17.0767,8.24691,1.40442,59.2549,20.1876
7,4.82459,16.1135,26.6472,3.05401,11.9976,2.14486,9.32156,12.7327,2.10955,21.2838,25.4467,5.48914,4.25041,4.16932,27.7289,25.1302,7.34662,2.07208,67.8752,18.2222
8,4.04046,16.3894,26.565,7.20157,10.9948,1.41888,7.38703,13.2878,2.00981,16.1366,22.6897,5.18222,6.46399,2.65429,27.9474,25.7102,7.45902,1.91877,35.5421,15.9899
9,4.15907,14.4092,23.2033,6.45425,12.1222,1.46983,7.6398,19.1959,1.68311,27.9211,24.3765,4.55262,5.9563,2.21879,20.0598,22.4113,6.55551,1.76594,64.2404,23.0793
10,3.42692,11.7189,18.3707,5.47315,13.6245,3.13154,6.62941,18.4816,1.9125,32.6985,28.5302,5.01111,3.81047,2.9912,30.143,23.9638,8.88588,2.19679,46.936,14.3715
11,5.2142,10.4663,20.7144,4.68521,10.4261,2.82289,10.7666,14.8015,2.11124,7.6061,30.2347,5.63271,3.81978,1.60437,27.3192,26.0762,8.89019,1.61602,41.5443,22.5857
12,4.28108,17.0451,28.5017,8.26149,10.2632,3.31049,9.98863,20.7857,2.14717,13.5314,26.5498,5.49122,4.84666,4.3184,21.8753,17.9523,7.60251,2.52259,41.5215,13.3434
13,3.9491,9.39681,23.3559,8.72486,13.6308,3.78548,8.57887,16.9947,2.10911,34.2889,23.6822,5.94408,6.99443,1.5227,15.0247,13.6151,8.28267,2.41837,47.178,20.839
14,3.58766,18.5181,19.1241,6.51543,7.77493,4.02485,11.2771,11.8379,1.62914,11.3565,25.3098,4.80096,6.61705,3.98196,17.3855,24.3473,7.17462,1.22204,37.1355,23.3858
15,3.67055,15.8263,24.5242,6.24751,7.37028,1.53583,8.6369,14.5802,1.96465,23.0785,26.8651,5.68707,5.70822,5.18558,23.0113,16.26,6.04162,2.48611,59.1805,19.9373
16,4.37251,8.32966,27.1086,3.24907,12.6387,3.63857,7.14407,14.6474,2.02946,18.8911,22.9189,5.81611,7.02915,3.29993,16.8863,23.3233,6.38687,1.41861,59.8989,25.1502
17,3.68482,13.9234,21.6165,4.34675,10.7531,2.84527,11.1358,19.9737,2.00749,18.1982,28.9701,4.97856,7.49573,2.13697,16.2966,20.2921,6.64847,2.40058,69.5331,23.4574
18,4.16277,17.8782,23.5851,2.90568,9.2768,1.63365,6.39376,10.5417,2.12969,34.2035,20.9793,5.42364,7.42484,2.13607,20.1314,16.3209,8.77274,1.14975,30.5276,18.4032
19,3.97029,10.3906,28.7145,8.4015,9.50977,3.08227,8.67176,17.2764,1.41308,8.15678,30.8264,5.97924,3.22474,2.77729,32.497,13.9763,7.53346,2.82073,69.3073,16.5183
20,5.0205,14.1669,29.2323,3.09069,13.4473,2.83935,12.2311,14.244,1.91673,13.6532,21.5469,5.96634,5.30549,2.19472,28.2147,13.847,6.89375,1.3879,47.1521,22.3305
21,4.02494,15.8456,29.7428,3.20455,7.76488,3.46815,12.2056,12.5605,2.23038,38.079,29.0388,6.02517,3.28609,3.64166,22.202,21.7788,7.07423,2.10603,32.1626,15.4919
