NodeNo,A.melanoleuca,C.dingo,D.marsupialis,E.barbara,L.pardalis,MeanShape,P.lotor,P.uncia,PC1.max,PC1.min,PC2.max,PC2.min,S.harrisii,U.arctos,V.vulpes,V.zibetha,PC1pos.PC2pos,PC1pos.PC2neg,PC1neg.PC2pos,PC1neg.PC2neg
31,7.52822,20.5804,15.777,2.82464,15.3517,9.1516,16.7833,69.8094,2.65326,28.3918,16.7831,8.7538,2.47591,9.02217,16.8437,19.9691,7.40236,2.32508,25.2159,42.6622
32,5.93321,17.1576,14.2901,8.48902,9.43035,9.53986,9.08069,66.2117,0.828137,27.8351,16.2475,8.48258,5.43961,8.20528,17.7356,18.0228,8.73809,1.73477,24.3432,46.9551
33,6.7095,18.5939,13.9823,5.1428,6.99677,7.03813,17.7877,69.0057,2.80911,29.0971,18.9582,8.26312,2.97987,5.22864,15.465,18.1256,7.16009,1.86745,28.139,48.4046
34,6.87377,16.4172,14.3584,1.7609,12.1555,13.5984,18.5301,67.7737,2.4302,27.9851,19.151,8.28273,6.64771,3.31473,22.0327,19.7956,9.1037,2.2553,24.4017,44.9012
35,3.95015,19.9678,13.219,3.99147,7.55149,6.78726,7.75143,67.414,1.84934,24.3237,19.119,8.15085,4.85611,10.4775,16.6812,19.8712,5.97955,0.928599,24.1303,42.1665
36,5.23208,18.3828,16.0343,3.50733,16.3824,10.2492,18.45,70.3313,1.63527,31.0348,17.3623,8.23133,7.01139,6.6883,20.6091,19.55,6.51157,2.84192,29.8507,33.7565
37,4.08057,19.1843,16.3084,4.3329,20.2514,8.26559,19.5226,67.8777,2.53367,27.9303,19.1063,11.5048,6.31417,3.59608,20.3953,18.6202,6.82856,0.871079,24.0178,42.5881
38,5.08415,15.9305,14.146,8.17063,18.4196,11.6829,14.5029,67.3157,3.17258,25.7909,19.2797,7.00484,6.48655,2.91815,19.7819,18.1906,9.35536,3.69047,27.7889,21.6874
39,7.61143,19.8715,13.6366,8.44633,6.38579,5.28738,10.9158,65.8265,1.28608,27.7027,18.1713,8.58508,1.6899,6.91287,16.1426,19.8437,9.45318,3.83001,26.4378,48.1375
40,7.78018,18.9373,15.7867,5.67671,8.10586,12.1735,16.7639,67.2427,2.51125,30.1699,15.7527,8.12367,2.24919,2.29012,21.5029,18.3382,6.25636,1.53012,25.8367,17.7478
41,4.22296,15.7525,15.961,5.91854,15.7702,4.83984,9.74163,69.8674,1.92129,30.1662,17.686,10.7904,7.74719,5.44673,15.1943,17.6444,7.74151,1.36674,30.4535,45.7287
42,5.69657,18.8172,16.0221,3.71763,10.454,11.2344,20.4075,68.627,2.31687,33.5018,19.8084,7.80124,4.32312,11.0521,22.1804,18.5214,9.75546,3.18055,26.471,46.5561
43,7.05075,20.8281,13.4849,7.43987,19.3358,9.71846,10.5938,67.5179,1.74538,34.2267,16.7057,9.7762,7.74221,1.95674,18.8414,18.6203,7.94814,3.54752,23.0676,40.0982
44,7.5546,19.3809,16.0358,7.55298,13.9818,8.72931,17.9817,65.5777,1.30924,23.4421,17.7197,17.1934,3.2618,5.98403,21.1447,19.9886,9.5276,4.18456,28.1993,22.5029
45,4.02751,16.8238,15.7834,5.48428,16.3225,5.37375,19.9912,66.0772,1.34145,26.7353,20.0507,12.1898,8.21796,7.1181,16.207,19.5806,8.55077,3.17749,23.7707,42.0506
46,4.37936,20.5396,13.7337,9.51122,5.90004,9.40543,8.8853,69.3226,1.90648,27.5832,15.677,13.0008,7.92386,8.75677,15.7314,19.0525,5.69554,2.89017,29.6962,62.3619
47,7.15631,19.9644,15.5661,8.90885,11.8543,11.9883,21.5379,69.3005,3.16092,22.383,20.3115,8.93653,3.68586,6.5042,19.3159,19.4988,5.68835,1.13415,28.6602,54.8694
48,3.66206,19.1019,16.3403,3.86907,19.0217,14.4597,8.11255,70.3007,3.44019,34.4503,16.4076,7.82316,2.78107,7.11396,15.0132,18.0516,9.94355,1.00751,27.9128,31.2755
49,6.62609,15.9749,15.2064,2.50582,20.7012,6.37019,20.0796,68.5242,2.91656,30.4698,19.3623,8.31795,7.51933,7.41485,18.8854,20.2431,6.73452,1.83435,29.0231,49.6599
50,5.07918,21.4151,14.259,1.63112,14.7995,11.2781,15.3828,69.8844,1.50079,31.1112,18.1609,7.5652,6.66583,5.58923,19.1526,20.1466,8.22484,4.13097,22.9701,65.3512
