NodeNo,A.melanoleuca,C.dingo,D.marsupialis,E.barbara,L.pardalis,MeanShape,P.lotor,P.uncia,PC1.max,PC1.min,PC2.max,PC2.min,S.harrisii,U.arctos,V.vulpes,V.zibetha,PC1pos.PC2pos,PC1pos.PC2neg,PC1neg.PC2pos,PC1neg.PC2neg
31,3.99094,11.8879,13.0219,9.35973,3.82003,8.74146,3.18172,13.2305,1.17693,17.2698,11.8786,0.782015,4.44013,6.57994,17.4433,15.539,7.49501,1.69728,21.0243,6.50564
32,3.97845,12.3905,9.10725,9.08323,4.26023,8.93076,1.88552,12.3193,2.13003,22.0756,10.5443,0.925389,4.28112,7.28592,15.5371,12.494,7.27295,2.08388,14.742,6.25546
33,4.16571,14.3597,9.73738,9.46317,4.21101,8.87679,4.40216,12.9124,1.72757,19.8636,11.8302,0.773298,4.58732,6.59078,14.6558,12.3721,7.56313,1.82095,20.0878,6.35319
34,4.15484,11.7327,9.13407,9.27972,4.14437,8.30261,2.48775,12.8948,0.766572,20.8635,14.588,0.444374,4.2877,6.68948,21.2346,14.9486,7.54944,2.16094,13.8984,6.31799
35,2.70346,14.3702,11.2015,9.19087,4.31312,8.79455,1.39307,12.9388,0.994764,20.2751,12.3144,0.450017,5.56711,6.56967,14.3995,14.4655,7.04706,1.98381,14.2466,6.59307
36,1.173,10.8357,13.3435,9.97686,3.72277,9.07049,3.03623,13.382,2.71781,20.8854,12.7379,0.591998,5.58895,7.68066,21.2067,13.109,7.21888,1.67305,18.6417,6.4612
37,1.01414,14.8801,12.8411,9.40495,3.30982,8.43606,2.80864,12.5869,2.65918,15.8235,15.7161,1.11134,4.17132,7.59018,19.4978,13.4595,7.45352,2.05537,13.3771,6.45052
38,4.04455,10.8537,12.1442,9.96178,3.54383,8.36504,1.71275,12.9731,2.23639,21.4895,14.1672,0.495327,5.89881,7.46966,21.2951,12.4552,7.51872,2.04316,17.3399,4.19399
39,5.17689,11.2807,10.2429,9.56546,4.2491,8.96576,1.34776,12.7511,2.63836,15.2431,16.6509,1.06226,4.83034,6.50152,13.6637,15.7634,7.53071,1.61286,15.2965,6.56775
40,3.63224,14.6381,12.1536,10.1598,4.17491,8.9341,2.07855,12.8276,0.935261,13.7537,10.5093,0.942207,4.58551,7.28085,17.331,13.8839,7.03406,1.93013,22.6641,5.1241
41,4.01013,10.5622,13.581,9.41577,3.7657,8.88264,1.1371,13.1969,0.852197,17.9646,14.5594,1.15735,5.09033,7.79457,13.9312,12.0552,7.51951,2.15883,17.698,6.66949
42,1.87078,10.371,11.7068,9.12716,4.03361,8.94758,2.92532,13.1268,2.83502,14.7114,13.8227,0.727547,5.47936,6.30327,17.903,13.791,7.51828,1.59092,22.1889,6.64766
43,4.28231,13.4313,11.0082,9.20784,3.43399,8.41906,2.85648,12.9564,1.17622,18.4174,11.5243,1.07171,5.43943,7.1336,20.0412,12.845,7.07618,1.53106,13.2527,6.67338
44,4.24034,15.138,13.3359,10.1143,3.95458,8.72281,3.58846,12.8298,2.21794,21.0836,15.0291,1.85386,4.65079,7.65237,19.5594,15.9945,7.68569,1.8276,17.9878,6.3445
45,3.00958,10.1505,10.5378,10.1586,3.68214,9.02629,3.41944,12.8656,1.83306,14.1663,13.3359,1.21979,5.89454,7.78725,16.5843,15.0054,7.5362,2.31006,13.6357,6.42785
46,3.56728,14.6649,10.9329,9.70022,4.33018,8.92867,1.94451,13.2075,1.05698,14.6307,10.3086,1.18973,4.84447,6.56592,13.1666,14.1507,6.93173,2.34729,16.8464,6.83538
47,3.09137,15.0407,10.1637,9.37776,4.14998,8.93902,3.29584,13.3611,1.73684,20.8492,15.3156,0.584798,4.92507,7.75492,21.2017,15.4044,6.98989,2.09373,15.4997,6.71814
48,3.57108,14.3921,12.8411,10.2296,3.50492,8.16951,1.43526,13.2347,2.65399,16.6954,11.1731,0.906125,5.12421,7.58417,15.2719,11.8513,7.63485,2.08881,16.6949,5.66526
49,1.79283,11.1821,12.8154,9.40852,3.27376,9.03916,2.74759,13.225,2.99316,22.1956,16.461,1.05598,6.31013,7.63301,15.9692,16.1046,7.02711,2.10323,20.0054,6.68527
50,2.74233,12.262,8.87302,9.29218,3.76291,9.22202,3.54224,13.3454,1.73605,17.0986,16.0855,0.761829,4.60717,7.86864,20.6485,16.3523,7.10184,1.8025,12.681,6.597
51,3.96887,14.0416,9.28464,9.38719,3.42185,8.79244,3.55281,12.7598,2.19057,20.7252,11.4323,1.23044,5.63356,6.45645,22.4887,12.4124,7.07923,1.88239,19.448,6.81465
52,2.95411,13.4051,11.1372,10.2548,3.56396,8.86111,4.37698,12.5563,2.77754,20.2994,17.1425,1.20769,5.19369,7.55217,19.0051,14.637,7.28439,1.56489,22.6115,6.7192
53,4.41469,14.1182,9.85803,9.74553,4.37015,8.66922,3.50138,12.5327,2.59502,19.4065,10.1982,0.85777,5.92925,6.51011,19.4808,11.7769,7.53615,1.78377,20.8435,4.44456
54,4.47713,15.6285,13.8439,9.35999,3.93067,8.48075,1.32788,13.4239,3.0053,18.7982,17.3657,0.933359,4.67922,7.82781,14.9768,15.9532,7.62005,2.25967,23.6849,6.71565
55,4.45021,15.0146,9.37263,10.0293,4.13257,8.60314,3.6136,13.3288,2.91583,20.6468,10.3358,0.993597,4.37207,6.90286,17.9737,12.1001,6.81536,2.07188,15.9128,6.80595
56,4.32466,10.0133,14.2269,9.23362,4.40116,8.405,1.84136,13.1753,3.07561,16.6715,10.9436,1.2833,5.01199,7.79166,14.916,13.1286,7.33803,2.27108,12.6176,7.02368
57,4.51461,11.627,9.12537,10.1505,4.14692,8.90525,3.25255,12.7032,3.05133,14.1819,12.7915,0.653194,4.25023,6.41806,21.9121,16.3019,7.20809,2.08743,18.702,6.83154
58,4.62996,12.085,8.91005,9.25291,4.40678,9.00359,2.94614,13.4305,1.26434,13.6754,10.0476,1.32591,6.32731,7.68194,17.9813,13.6546,7.0622,2.15,14.1033,6.32416
59,4.59756,14.4722,13.3517,9.97216,3.10508,8.37141,1.24273,13.1966,3.05857,19.9133,14.2072,1.10942,4.70696,7.70539,22.5119,13.5785,7.52046,1.97222,13.965,6.62329
60,4.53844,10.1764,8.86024,10.2472,3.09668,8.29383,1.41166,12.9017,2.98416,22.4102,12.2955,1.91963,5.06021,7.84397,16.6752,14.4971,7.36129,1.69831,15.8394,6.59659
61,6.01457,13.0965,12.2323,9.0618,3.26876,9.07605,1.2825,12.8976,1.14609,13.9479,13.2928,0.870266,5.05248,7.67465,13.7263,12.4449,7.41551,1.54355,15.3591,6.75384
62,3.32192,9.7613,9.47819,9.35996,4.30037,8.29542,4.71863,13.3722,1.17594,15.2598,18.134,1.36723,5.59421,6.75379,12.8582,16.6833,7.49991,2.16636,21.8535,6.74514
63,4.2029,11.8855,14.2311,9.89579,4.45153,8.82764,2.36624,12.3642,3.21507,16.2277,12.3061,1.21404,4.70635,7.54535,13.1502,14.2917,7.68454,2.1103,21.4368,6.19128
64,3.79846,10.4625,14.4464,9.46289,3.94661,8.85868,3.43794,12.8959,2.36234,20.5846,14.963,1.73471,5.89359,7.02418,21.9064,15.5004,7.75355,1.64745,12.1585,6.49756
65,4.57977,10.5736,10.3263,10.1579,3.62634,9.1055,2.06396,12.5789,0.721199,19.9886,10.6989,1.27758,6.66855,7.75626,22.3178,13.4125,7.16664,2.07201,23.7334,7.09373
66,4.59249,13.4893,14.7631,9.75952,3.78762,9.21902,3.83986,12.9843,2.57674,20.3114,15.9348,0.683482,5.40899,7.74383,23.3018,14.9139,7.90278,2.86213,20.455,6.64294
67,3.62059,11.3472,8.65917,9.1718,4.48127,8.43891,4.01318,13.4385,2.65092,20.157,14.406,1.20146,6.34214,6.95925,17.6149,14.023,7.49934,1.55371,19.628,6.65706
68,4.58141,15.6262,14.9564,8.92578,4.38643,9.09892,3.58716,12.8613,1.63099,21.7103,13.9679,1.35553,4.9262,7.32872,17.1057,12.2577,7.0269,1.45517,14.7001,7.02284
69,3.7726,9.92995,11.1895,9.59678,3.62558,8.4869,3.64439,12.3166,1.04006,21.8336,10.0687,1.03043,5.71344,7.90981,14.6154,11.8957,6.81255,1.86612,12.814,6.67335
70,4.65348,14.5033,11.8178,8.9929,3.53571,8.1782,3.7866,12.9769,1.5432,15.7279,10.3931,0.726632,6.4321,7.65755,19.3777,16.7076,7.3833,1.574,24.5989,6.97184
