NodeNo,A.melanoleuca,C.dingo,D.marsupialis,E.barbara,L.pardalis,MeanShape,P.lotor,P.uncia,PC1.max,PC1.min,PC2.max,PC2.min,S.harrisii,U.arctos,V.vulpes,V.zibetha
39,5.80029,14.0648,23.1884,8.81962,2.407,7.86762,1.18701,12.6016,2.83504,15.3443,23.9656,1.27918,4.04526,6.73829,34.0521,24.6962
40,4.20766,15.5176,21.9257,9.25578,2.36925,7.75722,1.78413,12.7342,0.903685,13.2872,24.3125,1.18704,3.89994,7.32244,26.9758,25.621
41,4.48894,14.2709,23.793,8.44582,1.9481,7.84981,0.99168,13.0899,0.877721,17.2305,23.5996,1.32037,4.07847,7.96737,35.3563,24.5962
42,2.19239,13.8614,21.438,8.24755,2.26564,7.78636,2.50552,12.9566,3.01474,13.4779,23.9093,0.959443,4.49136,6.69317,31.4467,25.9362
43,4.93905,14.6407,23.7343,8.49736,1.77082,7.07897,2.53346,12.8241,1.24421,15.3028,24.0799,1.24826,4.35873,7.15922,40.1703,25.8229
44,4.90644,15.5832,23.0461,9.26302,2.0782,7.69109,3.12139,12.4727,2.39941,18.1507,23.7199,1.89396,3.96197,7.81533,37.7002,24.2313
45,3.36574,13.9736,20.4846,9.23663,2.01504,7.90401,2.94215,12.6029,1.97239,14.1859,23.8554,1.34127,4.70476,8.02971,38.6641,25.2543
46,3.93498,15.2002,23.9435,8.95495,2.44083,7.83543,1.74126,13.0447,1.17634,14.8535,24.5253,1.20683,3.87315,6.86813,33.5524,25.5557
47,3.58213,15.4151,20.403,8.66202,2.20327,7.67357,2.82001,13.0821,1.76756,18.263,23.5003,0.519091,4.18553,7.95608,39.7711,25.1696
48,3.95736,15.6738,22.2893,9.22834,1.80166,6.79614,1.30363,13.1439,2.77588,14.5413,24.6346,1.17286,4.26805,7.80412,37.4001,25.2796
49,2.17441,14.7871,24.6867,8.60143,1.68815,7.82345,2.35211,12.9665,3.16659,18.3831,23.9028,1.3026,5.05561,7.88201,34.431,24.9688
50,2.91204,13.9756,21.1146,8.44314,2.09322,7.94688,3.09804,13.1222,1.86122,16.9042,23.9999,1.01612,3.77404,8.03426,40.0707,24.482
51,4.34783,14.925,20.2525,8.63876,1.82751,7.55319,3.07196,12.525,2.25816,18.2286,23.6927,1.42614,4.67618,6.8306,37.759,25.6488
52,3.28301,15.416,21.2318,9.26136,1.82263,7.84849,3.87945,12.5073,3.00359,17.6836,23.9245,1.44817,4.30256,7.84878,37.2096,25.3706
53,5.09196,15.7046,20.4573,8.99426,2.37373,7.3987,3.08215,12.3472,2.80867,17.7979,24.5998,1.14345,4.72531,6.63402,40.4163,24.7232
54,5.14816,15.6849,24.6031,8.38374,2.0454,7.2485,1.20203,13.1963,3.21642,17.6067,23.7683,0.861264,4.00279,8.07741,37.7442,23.3895
55,5.14807,15.7188,23.1735,8.97956,2.34749,7.37948,3.09556,13.1554,3.06851,18.2776,24.4154,1.27715,3.52509,6.93661,39.454,23.8238
56,5.01143,14.1887,24.1278,8.41464,2.46234,7.11867,1.57903,12.832,3.27613,16.721,23.946,1.43029,4.12978,7.87318,33.2679,26.1923
57,5.19531,15.0271,22.8229,9.27412,2.18655,7.76986,2.77318,12.4128,3.28682,14.5344,23.9515,0.591181,3.45062,6.60573,34.4725,23.956
58,5.31599,15.0816,20.486,8.29849,2.50652,7.76301,2.61638,13.2042,1.34432,13.6177,24.8082,1.35217,5.12484,7.83234,35.9649,21.3449
59,5.24974,14.9726,24.8944,8.90129,1.61294,6.99297,1.07527,12.8898,3.22996,16.0834,23.4211,1.39947,4.03364,8.00517,39.3729,21.798
60,4.86757,14.4071,22.4038,9.27548,1.59184,6.90158,1.24374,12.5746,3.23002,18.7494,23.9227,2.11643,4.30355,7.97722,34.5964,21.9727
61,6.8104,14.395,21.548,8.19187,1.65993,7.91822,1.1199,12.554,1.1822,12.9362,23.9122,1.20474,4.26387,7.7855,32.6641,22.4514
62,3.66119,13.8393,23.2938,8.64593,2.46364,6.95834,4.22234,13.1462,1.2118,15.8418,23.9997,1.42731,4.68983,6.80659,34.7508,24.3622
63,4.70459,13.7756,23.5078,8.83337,2.44489,7.80057,2.01826,12.3696,3.45481,16.6588,23.9717,1.45574,3.76497,7.84612,34.8883,25.8351
64,4.13831,14.5647,24.7323,8.70605,2.22682,7.81643,2.9208,12.5107,2.57821,18.45,23.4406,1.96198,4.69683,7.04366,40.4714,22.639
65,5.17684,13.792,23.8367,9.07528,1.83989,7.91448,1.8518,12.3118,0.709764,16.2928,24.279,1.6374,5.35159,7.85038,39.7335,22.1622
66,5.33162,14.6526,24.0875,8.70157,1.93743,7.96764,3.30631,12.9252,2.67203,18.4347,23.6642,0.954785,4.54694,8.044,37.3925,22.3172
67,4.0065,13.8119,21.569,8.51545,2.46931,7.16211,3.49725,13.1673,2.89195,17.7399,23.4708,1.48662,5.05111,7.33397,40.082,21.5825
68,5.25549,15.8941,25.0938,8.08775,2.35754,7.82756,3.05165,12.6608,1.77109,18.6923,23.5464,1.4556,4.23096,7.68204,28.4951,23.1561
69,4.12476,13.6545,24.34,8.90019,1.99902,7.20788,3.21827,12.3194,1.05094,19.0417,24.6769,1.36402,4.82526,8.01189,37.5927,23.89
70,5.3741,15.7217,24.5768,8.21612,1.92928,6.82054,3.23947,12.9277,1.56726,16.3711,24.3645,0.633237,5.26889,7.8657,35.3452,25.0682
71,4.06558,15.4835,22.636,8.92383,2.52743,7.68615,3.96556,12.4958,2.05512,15.4353,23.5685,1.17374,4.24445,7.82308,32.5954,26.5903
72,2.49264,15.2745,25.2939,9.20576,2.25246,6.76934,3.49081,13.1045,3.08112,19.121,24.1189,1.5155,3.54484,8.11063,40.2098,25.1666
73,3.63872,13.7819,19.8886,9.3567,1.71174,7.89234,2.58404,12.9025,1.29655,13.1788,24.7844,0.465916,5.32215,6.77384,32.8119,25.7356
74,5.3316,15.9706,23.7444,8.15578,2.13795,7.85325,1.3309,12.5917,2.37596,13.8963,23.6693,1.49136,5.60382,6.71008,37.2126,24.2907
75,3.08363,15.6967,20.8392,9.22132,2.30363,7.54427,3.46163,12.5765,0.756878,17.881,23.8495,1.52079,4.72143,7.98511,39.4656,21.9459
76,5.3198,15.3777,24.6463,8.62577,1.83287,6.88733,2.71725,12.5198,3.52958,17.5591,24.7211,2.12246,4.62772,6.69165,40.2228,26.4899
77,2.5174,14.7728,25.0293,8.98069,2.37968,7.9065,1.51923,12.2799,3.43163,19.1696,23.5472,1.31391,4.37409,6.96101,30.959,25.4816
78,4.7154,14.9998,24.0896,9.03873,2.52832,7.00142,3.1082,13.158,3.19431,19.1931,24.7997,1.26363,4.39549,7.88611,36.9489,26.3938
79,1.43062,14.209,21.3284,8.39712,2.49866,7.86611,4.05789,12.7033,3.31374,14.5699,23.9,0.853155,4.58834,6.55368,33.5262,26.2531
80,4.02105,13.8919,20.6644,8.58564,1.7333,7.22057,2.88041,12.6429,1.26484,18.7708,24.5934,1.4591,3.30447,7.06531,26.1501,26.1008
81,5.60704,13.5941,20.6494,9.26621,2.08664,7.94587,3.33901,12.3201,3.61425,14.5366,24.7184,1.18149,5.23305,6.37086,33.1639,24.9192
82,1.55978,14.4842,24.2619,8.30124,2.32301,7.87332,3.46389,12.2258,3.37482,15.3098,24.1553,1.52641,4.76355,7.88447,41.0611,23.7817
83,5.85308,14.6244,21.9065,8.05947,2.0179,7.67574,1.20573,13.094,3.5458,13.3605,23.8007,1.44165,5.73392,7.24753,34.8711,25.5998
84,5.40291,15.964,23.5934,9.26571,1.55411,7.78084,1.81963,12.7954,3.48772,18.0078,24.4713,1.57545,5.48964,7.76118,36.5548,27.0344
85,3.94625,14.0678,23.9575,7.99476,2.27538,7.93667,3.30585,12.2973,2.562,19.2198,23.979,1.60024,4.536,8.13525,36.6652,23.1993
86,5.12896,16.1879,19.44,9.35518,2.17238,7.34807,1.48465,12.9278,2.92598,12.6976,23.7962,2.02374,4.67753,7.70989,38.338,25.8967
87,1.27737,15.7012,25.2356,9.36123,2.54346,7.97396,3.0545,12.2338,3.73677,14.5092,23.6861,1.95514,4.24375,7.50317,41.9161,25.817
88,4.71697,16.1807,22.8796,8.05139,1.61707,7.95289,3.5347,12.3261,0.978208,14.061,23.784,1.53759,5.26675,7.9106,36.5808,24.364
89,5.51913,15.4772,24.2774,8.59689,1.76507,7.09021,3.08202,13.3744,3.69774,17.0216,24.6284,1.58223,1.34941,7.97292,39.2799,26.2435
90,5.72656,13.7729,25.2605,8.36496,2.48704,7.82923,2.05922,12.7142,1.72971,13.9667,24.5551,1.13382,5.56476,7.85838,36.0882,24.2037
91,4.64285,16.0821,23.1967,8.89849,1.8674,7.07223,3.85099,12.8291,3.05458,18.3447,24.212,2.18142,5.34069,7.9199,41.1504,23.5019
