NodeNo,A.melanoleuca,C.dingo,D.marsupialis,E.barbara,L.pardalis,MeanShape,P.lotor,P.uncia,PC1.max,PC1.min,PC2.max,PC2.min,S.harrisii,U.arctos,V.vulpes,V.zibetha,PC1pos.PC2pos,PC1pos.PC2neg,PC1neg.PC2pos,PC1neg.PC2neg
32,17.0989,67.1392,71.7797,41.7305,35.8474,45.9764,10.9774,66.8715,10.5656,136.23,72.4662,14.9299,22.7597,35.0697,142.842,89.2886,25.4499,11.0816,162.723,62.3333
33,17.9921,68.6545,73.1186,42.8121,34.3104,45.0174,26.7056,72.5806,8.30433,138.91,71.541,12.8941,24.61,31.0405,146.233,89.1213,25.9866,10.0427,155.121,62.7965
34,18.3472,67.6854,73.2138,42.0111,35.9922,46.3029,18.4315,68.1488,2.91906,138.159,68.3233,6.64657,22.6273,31.3335,128.16,81.1643,26.4941,11.3566,154.266,63.7067
35,11.4239,68.3717,72.2255,41.4412,35.6634,44.4288,7.6754,75.4011,4.58013,131.096,72.0365,6.83834,29.3459,31.8863,143.624,81.8912,23.8376,10.8095,164.351,67.9594
36,4.88036,67.0397,73.7462,45.9921,34.2496,47.4737,21.5582,74.5003,13.5926,132.923,69.0231,9.85066,29.3395,36.9438,131.15,84.4927,24.7015,9.20737,151.63,69.1309
37,3.98033,67.6284,71.0898,42.4374,31.3731,46.7587,20.8784,70.0489,13.0994,137.963,68.0276,14.5156,22.0649,36.0383,151.276,88.9906,25.518,11.103,155.613,66.638
38,17.2913,67.6641,73.7747,46.0928,32.5317,47.2075,12.225,69.8141,10.8921,135.487,68.9848,7.55461,31.1407,35.3242,136.604,87.1459,26.3625,10.69,167.283,53.3226
39,20.8158,66.7504,73.9183,44.0375,34.3904,46.3419,8.79788,75.7236,13.2505,137.485,67.7643,16.9858,25.5371,30.795,141.868,83.2549,26.3,8.64733,164.02,65.4365
40,16.2441,67.4351,70.4818,47.0337,34.192,46.4825,15.4257,75.3659,3.98818,134.918,70.8524,15.6632,24.3106,34.2682,106.47,85.4679,23.8867,10.5853,162.312,64.9391
41,16.9536,67.4986,72.4642,42.6118,34.3431,45.0065,7.68322,75.4993,3.83563,139.984,66.1312,16.8467,26.6066,37.3549,144.934,88.9313,25.8737,11.4694,150.493,68.3039
42,8.19212,66.9976,69.918,41.1063,33.9276,46.3783,21.8586,75.3785,14.147,134.101,70.3169,11.7772,28.9638,30.5274,124.959,87.7562,26.246,8.77776,162.732,67.4844
43,19.0519,67.3629,73.5059,42.1335,32.6793,47.3855,17.5368,75.0231,5.49401,134.488,68.6746,16.5389,28.4636,33.2853,145.917,89.4817,24.6381,8.40033,160.309,69.9521
44,19.0448,67.7405,71.3068,46.875,35.1768,43.994,24.6869,74.8366,10.9654,135.054,66.2497,18.5925,24.8752,36.9895,148.645,83.0929,26.5845,9.62368,167.949,72.0244
45,12.7436,66.999,68.9657,47.0138,32.9734,46.9169,24.7809,76.0816,9.07616,136.279,70.5041,16.4938,30.9211,37.5497,147.235,82.8518,26.1301,11.8437,162.48,67.2394
46,14.6512,68.0209,75.0608,44.9721,34.9062,45.5088,11.0525,75.5182,4.9781,137.997,71.9156,13.4171,25.3375,31.3987,142.087,84.5281,23.3934,12.0938,150.353,64.741
47,13.81,67.9024,69.1934,43.2559,36.0819,47.7067,24.5609,75.5653,8.31619,132.639,68.2514,5.2996,26.3376,37.4977,143.067,82.7882,23.6826,11.2346,148.918,65.5415
48,15.1306,67.5942,70.2092,47.1054,33.1842,45.9218,7.23235,75.2406,13.0431,136.029,70.6274,14.9922,26.8257,36.938,144.958,89.2353,26.4574,11.3676,166.837,63.8627
49,7.40226,67.9955,74.7842,42.6507,31.6461,48.4343,20.5676,75.2852,14.7798,137.496,68.2007,17.6196,33.2787,37.139,143.077,83.0504,24.0892,11.1782,166.133,66.1884
50,10.9695,65.991,72.5479,41.9832,32.9536,49.0429,23.6646,73.0659,8.40684,140.668,67.1261,11.92,23.999,37.713,144.666,82.705,24.6669,9.55403,154.941,61.9097
51,15.836,67.6803,69.8587,42.8697,32.02,47.8155,25.1368,76.2056,10.6438,138.812,71.4986,18.8689,29.77,31.1641,135.156,89.7556,24.0931,10.3866,166.538,63.0698
52,12.6392,68.0265,70.1078,47.3944,33.5709,44.446,27.5867,74.3596,13.824,129.969,67.6479,15.7057,27.1027,36.3631,150.342,83.3908,24.9054,8.61395,157.973,64.6303
53,19.7168,68.4005,69.7394,44.9167,36.852,46.7163,22.4758,75.6209,12.873,139.198,73.814,14.4515,31.2742,30.384,147.543,89.2683,26.2229,9.83572,164.757,55.4709
54,19.7861,67.9832,73.6915,42.1707,35.1228,46.7739,6.84665,74.7382,14.9968,139.594,66.4413,9.14524,24.7844,37.8444,146.519,82.3518,26.2081,11.7398,164.506,61.1259
55,20.0608,67.561,75.8461,45.8872,34.1384,47.1999,26.5581,75.087,14.364,131.251,73.7508,16.8959,22.7754,32.0832,146.113,88.5327,23.1592,10.6684,144.528,64.2571
56,19.3298,67.6723,73.1022,41.6988,35.5288,45.4214,13.5976,75.3725,15.3188,140.205,72.0892,18.4462,26.2036,37.0319,140.637,88.7113,25.0356,11.8339,159.423,67.7382
57,18.3962,67.8246,76.0251,47.2011,36.0265,45.8054,24.6217,75.7667,15.2147,138.087,71.5331,5.45134,22.1819,30.1509,129.124,82.7355,25.1464,11.1612,166.82,65.6155
58,20.1441,67.6269,70.858,41.4857,34.9837,48.6557,17.8249,73.7804,5.81249,136.774,74.1045,15.6035,33.3186,37.2443,146.944,79.9293,23.9871,11.6187,149.895,71.0335
